Tract,Median Built Date,Tract-Cohort Canopy Z,Tract-Total Canopy Z,Tract-Cohort Imp. Surf. Z,Tract-Total Imp. Surf. Z
1.1,1942,0.883639733,1.08386186,-0.425651772,-0.271617767
1.2,1955,1.214989354,1.437260049,-0.657711846,-0.709522071
2.1,1947,2.170511814,2.494142512,-0.938911097,-0.809016811
2.2,1928,1.385155333,0.879073984,-0.297943449,0.368446111
3.1,1954,-0.550237067,-0.45745409,0.826310067,0.624760434
3.2,1953,-0.117164787,0.007386093,-0.127500723,-0.232809821
3.3,1950,-0.418598865,-0.34325893,0.152830869,0.334072189
4.1,1924,0.909963112,0.481022568,-0.344581829,0.315460151
4.2,1926,1.965363293,1.365093303,-0.604318624,0.020372644
5,1925,1.135949946,0.670323603,-0.229305052,0.446426334
6,1918,0.503765605,0.140765541,0.377808178,1.136168921
7.1,1949,-0.673180529,-0.622254488,0.548944981,0.748816421
7.2,1966,-1.330118374,-1.277750972,1.163033666,1.067575981
7.3,1942,-0.71819461,-0.671585334,0.790764413,1.002009155
8.1,1951,-0.285544608,-0.197445024,0.025008973,0.200238547
8.2,1940,-0.170446821,-0.071309579,0.4007711,0.593673595
9.1,1938,-0.515596192,-0.449558115,0.240654464,0.426026321
9.2,1942,-0.405855149,-0.329293116,0.467422478,0.663459735
10,1908,0.035944061,-0.251111725,0.583044983,1.369338877
11.1,1966,0.02901046,-0.063036618,0.865495306,0.780240907
11.22,1941,-1.099043946,-1.088957392,-0.027625846,0.145128196
12,1915,0.216028054,-0.100261847,0.604893545,1.394161074
13,1908,-0.769253257,-0.925596529,1.260749524,2.139280398
14,1966,-1.459334549,-1.39323726,2.503712863,2.36228015
15,1948,-1.067474602,-1.054360609,1.119779382,1.346498423
17,1900,-1.292025502,-1.363504017,1.593759447,2.517613656
18.1,1903,-1.092755054,-1.196582338,1.622162582,2.549882516
19.01,1950,-1.24200128,-1.245624061,2.19103637,2.46813899
19.02,1942,-0.921313427,-0.894182856,1.371966237,1.610546182
21,1962,-0.66272635,-0.578194994,1.58462138,1.306557318
25.1,1925,-0.191872796,-0.441945704,-0.571007521,0.058217457
25.2,1938,0.198809542,0.333357763,0.064823078,0.241925197
26,1951,-0.504495929,-0.437393358,0.208137928,0.39198046
27.3,1949,-0.751687014,-0.708289596,1.067821984,1.292097354
27.4,1950,0.799556657,0.991715377,-0.448427015,-0.29546418
27.5,1951,-0.406866211,-0.330401137,0.271177706,0.457985138
27.6,1953,-0.357862417,-0.250967848,0.723730899,0.532531614
27.7,1952,-0.519984371,-0.424982215,0.574190477,0.398079981
27.8,1956,0.608937396,0.78675131,-0.255361444,-0.347769257
28,1910,-0.818530935,-0.966874666,0.3299938,1.081846908
29,1970,-1.422527645,-1.36034128,1.041973811,0.950667551
37,1890,0.43124919,0.080021151,-0.477405756,0.164558614
38,1899,-0.649302531,-0.825118125,1.012163461,1.856861262
42,1959,-1.282775682,-1.243727881,1.563150388,1.287252773
43,1950,-0.50930868,-0.442667642,-0.09126481,0.078496151
45,1946,-0.324441591,-0.240072153,-0.163134624,0.003246141
46.1,1942,-0.407191702,-0.330757841,0.039165911,0.215061317
46.2,1927,-0.538252298,-0.732095342,0.142957737,0.869354854
47,1920,-0.28501127,-0.51996445,-0.038833628,0.66282131
48.1,1941,-0.892981775,-0.863134253,0.546356427,0.746106121
48.2,1929,-0.648791082,-0.824689702,-0.23588616,0.438949524
49,1928,-0.34066156,-0.566580695,-0.480652855,0.160869579
50,1918,-0.972254792,-1.095643606,0.615766843,1.40651425
51,1988,-0.00498721,-0.405029694,-0.644658903,-0.569649822
53,1900,-0.696249134,-0.864443604,0.633426671,1.426577616
54.1,1907,0.056366169,-0.23400486,0.258571364,1.000703732
54.2,1922,-0.244877872,-0.486346148,0.38561236,1.145035269
55,1929,-0.339889471,-0.565933943,0.09173246,0.811157711
56.1,1919,-0.706633466,-0.873142185,0.822155385,1.640992696
56.2,1924,-1.058052762,-1.167513477,0.80201448,1.618110573
58.1,1915,-0.300154805,-0.532649644,0.741758669,1.549653822
58.2,1919,-1.066804616,-1.17484459,1.05400459,1.904397054
59,1928,-0.436805231,-0.647116786,0.193416065,0.926680663
60,1957,-1.546852611,-1.527176104,2.611463782,2.229790217
62.2,1981,-0.351789198,0.054827461,0.519036133,-0.293565618
62.36,1984,2.896984407,1.767614861,-2.274201376,-1.664732755
63.1,1961,1.428310796,1.666229629,-1.201299238,-1.19826091
63.21,1964,0.214369505,0.102627068,-1.048037876,-1.067672742
63.23,1959,0.546196899,0.719408501,-0.105593354,-0.213112929
63.3,1954,0.554642477,0.728473602,-0.633415054,-0.687676852
63.4,1972,1.985608837,1.685663045,-0.892457124,-0.917427219
63.51,1972,0.345576237,0.219892406,-0.157135648,-0.207321638
63.52,1970,-1.094958385,-1.067577951,1.567845239,1.458505617
63.53,1972,-0.370839406,-0.420400364,0.73369337,0.652958768
63.71,1980,0.276600351,0.692102309,0.415945338,-0.361022047
63.72,1984,0.558183343,0.016604145,0.481745265,0.187314787
63.83,1978,0.755476366,1.177749532,-0.889319648,-1.215109117
63.84,1984,-0.324895318,-0.644538105,0.063873854,-0.093502594
63.86,1986,-0.566065577,-0.825097159,1.483918796,0.860794091
63.87,1966,0.810025899,0.634991885,-1.024505956,-1.044947787
63.91,1967,1.795537096,1.515787412,-1.625674564,-1.625500916
63.92,1978,0.939787386,1.364666672,-0.227180094,-0.781844732
63.93,1981,-0.199056027,0.209720248,-0.001784113,-0.63435913
63.94,1983,-0.459226258,-0.745108829,-0.345542767,-0.3686382
63.95,1988,-0.777888059,-0.983684156,0.49725269,0.197736066
64.1,1952,1.85720821,2.126588699,-1.169958636,-1.170082609
64.3,1955,-0.094194403,0.032041463,0.380769682,0.224175553
65,1951,0.557136703,0.726047814,-1.101479004,-0.979230645
66,1940,0.562835074,0.732292648,-0.422490448,-0.268307759
67.1,1951,1.333079235,1.576401751,-0.629179158,-0.484717495
67.21,1966,1.276764869,1.052137421,-0.222293451,-0.270245027
67.22,1969,-0.071099895,-0.152509729,0.857007008,0.772043693
68.1,1942,2.34049415,2.680425829,-1.41495136,-1.307446298
68.21,1954,0.970631373,1.174977253,0.02480338,-0.095873366
68.22,1954,0.92586494,1.12692699,-0.352170154,-0.434809864
69.1,1958,1.855371908,2.124617696,-1.372760581,-1.352421619
69.21,1961,-0.448320312,-0.348061258,0.685541403,0.498195479
69.23,1964,-0.072949497,-0.154162801,0.344742474,0.277345909
69.24,1964,-0.878296713,-0.873937703,1.036741756,0.945614915
69.31,1971,-0.945911464,-0.934368037,1.146880164,1.05197642
69.32,1969,-0.278039197,-0.337460658,-0.110241347,-0.162035452
69.33,1971,-1.216321692,-1.176045777,1.759615967,1.643700078
69.42,1972,-0.092617089,-0.17174061,0.665581031,0.587182161
69.43,1966,-0.579681677,-0.607052062,0.585614861,0.509958218
69.44,1971,0.587646844,0.436241756,-0.156134925,-0.206355231
69.45,1975,-1.412230803,-1.020608569,1.575918519,0.397994785
69.5,1967,2.241352309,1.914232448,-1.208726177,-1.222850666
69.9,1974,1.721814251,2.157751235,-1.478857949,-1.600867599
70.1,1915,1.561985536,1.027198279,-1.255146786,-0.719034566
70.2,1964,0.211351622,0.099929851,-0.327054608,-0.371413678
70.41,1957,3.546230018,3.939508256,-2.071213225,-1.98039964
70.43,1986,-0.190949821,-0.544255955,1.44662468,0.83573175
70.44,1988,0.845133503,0.23143764,0.125912909,-0.051811192
70.47,1985,-0.565495411,-0.824670288,0.826902891,0.419267149
70.48,1987,-0.861589432,-1.046349597,0.491372066,0.193784177
71.12,1970,0.580289677,0.429666326,-0.983861043,-1.005696683
71.13,1972,0.135869945,0.032468493,-0.114068793,-0.165731646
71.14,1981,-0.482412542,-0.07764287,1.83967537,0.570581439
71.15,1978,-0.554332819,-0.150580085,1.779578297,0.531257521
71.2,1968,0.27794387,0.159446328,-0.091365399,-0.143806804
71.32,1978,2.398629564,2.844136577,-1.35676913,-1.520980003
71.93,1977,0.128010573,0.541411502,-0.356293865,-0.866329034
71.94,1979,0.442999014,0.860853815,-0.151716595,-0.732465947
71.98,1985,1.108384951,0.428528411,-0.068070892,-0.182171924
71.99,1984,1.645894459,0.830950371,-0.338664812,-0.364016085
72.05,1900,-0.506100938,-0.705163305,-1.734564064,-1.263701521
72.1,1910,1.307584048,0.814095312,-2.750699681,-2.418135283
73.93,1980,1.253738965,1.683057462,-1.683183225,-1.734565797
73.94,1948,2.190068274,2.5155744,-2.95568627,-2.920645369
73.95,1981,-0.429514278,-0.023996636,0.358190651,-0.398813248
73.96,1959,0.708589517,0.893713386,-2.224946703,-2.118621244
74.24,1962,0.398814106,0.561214482,-0.604894779,-0.662034303
74.25,1965,0.748014463,0.579569485,-0.919466913,-0.943510779
74.26,1960,1.283905045,1.511231032,-0.873628415,-0.903652426
74.27,1980,-0.039245428,0.371790536,0.198061226,-0.503592334
74.92,1982,0.952654127,1.377715346,-1.21401899,-1.427572879
74.94,1978,-0.824979595,-0.42505375,0.690962302,-0.181067451
75.11,1964,-0.904316157,-0.897192447,0.48529895,0.413082374
75.12,1959,0.355408432,0.514624796,-0.653966821,-0.706154923
75.2,1956,1.809585627,2.075472775,-1.397806936,-1.37494077
75.31,1967,0.581453682,0.43070665,0.027906282,-0.028625228
75.32,1950,0.832756779,1.028099328,-0.879814553,-0.747140825
75.33,1950,2.129323871,2.449004725,-2.11554919,-2.040994788
75.34,1952,0.924272057,1.125217262,-0.832040676,-0.866260934
75.5,1962,1.043178728,1.252846301,-0.9938822,-1.011772474
75.51,1998,-0.229202123,-0.572894641,-0.584941557,-0.529518651
77.1,1955,-0.993132455,-0.932837952,1.480040804,1.212529036
77.21,1957,-0.913570979,-0.847440265,1.519797424,1.24827417
77.22,1954,-0.012266679,0.119978975,-0.074795259,-0.185422395
77.3,1959,-0.778381793,-0.702334312,0.844292931,0.640928807
77.4,1956,0.593593803,0.770282192,-0.927229327,-0.951844948
78.11,1962,0.387029276,0.548565179,-0.20720715,-0.304473784
78.12,1970,0.597955462,0.44545503,0.104562781,0.04540254
78.2,1962,-0.66379783,-0.579345072,0.384342465,0.227387838
78.3,1954,-1.071865729,-1.059172837,1.789873963,2.04810903
79.21,1957,-1.378025016,-1.345964205,-1.639896584,-1.592603311
79.22,1974,-1.563707454,-1.174227069,-0.142568632,-0.726480069
79.31,1959,-0.467089645,-0.36820741,-0.372195487,-0.45281462
79.33,1989,-0.899024679,-1.074376572,0.93484447,0.491805903
79.41,1979,-0.495895159,-0.091316129,-0.436360199,-0.918719638
79.51,1984,1.842883385,0.9784318,-1.597419407,-1.209922649
79.52,1972,0.995110984,0.80041072,-0.61523579,-0.649712453
79.53,1890,-0.717177905,-0.881974881,-2.327571234,-1.937418185
79.54,1987,-1.183176091,-1.287114703,1.530539279,0.892123925
81.1,1958,-0.303522491,-0.192641831,0.284787851,0.137878392
81.2,1961,-0.684836828,-0.601927381,0.250192713,0.106773941
81.32,1981,-1.481918097,-1.091281228,0.823013241,-0.094661242
81.42,1976,-1.548675961,-1.158983034,1.137707485,0.111255785
81.63,1985,0.077641008,-0.343167702,-0.043688107,-0.165786238
81.64,1989,-0.051214406,-0.439639015,-0.44886324,-0.438071484
82.1,1961,-1.506961124,-1.484358387,1.936093981,1.622565956
82.3,1970,-1.322670655,-1.271094612,1.803947032,1.686510927
82.41,1964,0.345812543,0.220103603,-0.446273039,-0.486543831
82.42,1974,0.123669014,0.537008554,-0.242110509,-0.7916143
83.11,1960,-0.817665187,-0.744499329,0.337222541,0.185022365
83.12,1960,-1.161280022,-1.113319939,0.345380343,0.192357036
83.21,1956,-0.993405126,-0.933130624,0.269630727,0.124250638
83.22,1958,-0.839783931,-0.768240587,0.172862573,0.037246495
83.3,1940,0.482930204,0.644725054,-0.565323903,-0.417858987
83.4,1950,-0.680490446,-0.630265413,-0.265076558,-0.103490346
83.5,1978,0.924172233,1.348830723,-0.923870127,-1.237716877
83.6,1965,0.204136547,0.093481415,-1.048496023,-1.068115178
83.7,1969,-0.194261314,-0.26258461,-0.960427197,-0.983066438
83.8,1980,-0.894127741,-0.495179637,-1.005726963,-1.291279078
84,1926,1.108181845,0.647063264,-0.342083613,0.318298379
85,1940,-0.698936378,-0.650480274,1.205152542,1.435886871
87.1,1956,-0.484802275,-0.387219346,0.244024886,0.101228454
87.2,1951,-0.920870612,-0.893697576,0.837192784,1.050621154
87.3,1962,-0.664966126,-0.580599069,1.184166067,0.946508378
88.12,1962,-0.574721196,-0.483734246,0.333495019,0.181670954
88.13,1967,-1.064428508,-1.040292031,1.132783645,1.038363303
88.22,1950,-0.62238337,-0.566585978,-1.098660809,-0.976279904
88.25,1954,-1.001704246,-0.942038524,-1.004076225,-1.020937911
89,1934,0.043342532,0.162981765,0.281769512,0.4690751
90,1925,3.053921088,2.276938978,-1.435991895,-0.924493067
91,1940,0.784284896,0.974979084,-0.077424687,0.092987206
92.2,1952,0.508896064,0.679371472,-0.134595815,-0.239189011
92.3,1955,-0.425988932,-0.324091766,0.574699262,0.39853743
92.4,1953,-0.700703266,-0.618957697,0.599963044,0.421252068
92.5,1959,-0.719091392,-0.638694679,1.111716722,0.88136925
93.11,1960,1.263330997,1.48914778,-0.821043158,-0.856373078
93.12,1961,0.052152324,0.189123416,-0.60188118,-0.65932478
93.21,1959,-0.104459521,0.02102335,0.183697737,0.046988379
93.22,1959,0.008659304,0.142439977,0.217288456,0.077189758
93.23,1959,-0.413207598,-0.31037286,0.502274794,0.333420668
93.25,1973,-0.55261599,-0.14883898,1.599934591,0.413709461
93.31,1963,-0.735989744,-0.746751587,1.275212651,1.175908086
93.32,1961,-0.315399628,-0.205390213,0.080225417,-0.046043473
93.33,1958,-0.595057724,-0.505562555,0.640090585,0.457330697
93.34,1959,-0.159986034,-0.038576295,0.029250826,-0.091874672
93.36,1963,1.535208774,1.283120322,-0.585484207,-0.620981121
93.37,1970,-0.478792276,-0.516882682,-0.517381375,-0.555213695
93.4,1960,-0.424019511,-0.321977878,0.944004806,0.730579647
93.5,1966,2.643834997,2.273949266,-1.085744431,-1.104086251
93.61,1975,1.096197514,1.523288407,-0.934538078,-1.244697344
93.62,1975,-0.183248267,0.225751527,0.106274965,-0.563651754
93.71,1971,0.146788499,0.042226895,-0.157139338,-0.207325201
93.72,1967,0.19150323,0.082190453,-0.323093349,-0.36758826
93.73,1969,-0.286395225,-0.344928815,-1.146198862,-1.162467559
93.74,1987,-0.858994095,-1.044406523,1.243760883,0.699403494
94.1,1968,-0.33088242,-0.384689015,-0.329028222,-0.373319612
94.2,1963,0.805856306,0.631265332,-1.124860424,-1.141860865
94.95,1965,0.630465237,0.474510473,-1.464444042,-1.469799367
95.2,1969,-1.046061459,-1.023876576,-0.208600934,-0.257022058
96,1969,-0.761129429,-0.76922005,0.099882869,0.040883113
97.11,1962,-0.610896705,-0.522563399,0.233327919,0.091610822
97.12,1959,-0.664768047,-0.580386459,0.319115115,0.168741998
97.2,1986,-0.104552111,-0.479571823,0.379916277,0.118883808
97.52,1964,-1.376527909,-1.319229253,-1.806268153,-1.799901528
99,1970,-1.603337215,-1.521938896,1.498167484,1.391217275
100,1955,2.107810657,2.395574023,-2.685495495,-2.532700167
105,1987,0.037270174,-0.373392488,-0.55680145,-0.510607974
106.01,1997,-1.055597448,-1.191599281,-1.914062047,-1.422712408
106.02,1995,-0.879517192,-1.059771731,-0.689749499,-0.599951543
