Tract,getisord-z_OI-MCC,getisord-z_OIWP,getisord-z_OI-VH,getisord-z_OI-MISC,getisord-z_MCC-WP,getisord-z_MCC-MISC,getisord-z_MCC-MISC
83.80,-1.934582237,1.204207999,,,,,
83.70,-2.063764995,0.454293303,,,,,
83.60,-2.379284779,-0.851646706,,,,,
83.50,-3.383832531,-1.451268164,,,,,
83.40,-2.803883466,-0.418090428,,,,,
71.14,4.608738208,3.537952148,,,,,
95.20,-3.452533948,-2.336216798,,,,,
94.30,-1.459402691,-4.606249623,,,,,
93.61,2.071103006,-1.928884569,,,,,
83.30,-2.433811978,-1.281203714,,,,,
83.22,-3.06463183,-0.493694292,,,,,
83.21,-3.301405509,-0.65962766,,,,,
83.12,-2.57084313,-1.649550372,,,,,
83.11,-3.682500993,-2.686955386,,,,,
82.42,-1.409802803,0.578546729,,,,,
93.50,0.714306786,-1.745824407,,,,,
93.40,0.075431749,-2.117164632,,,,,
93.37,-1.094316106,-5.152938539,,,,,
93.36,-1.895644324,-5.192309477,,,,,
93.34,-3.509865855,-7.729574812,,,,,
93.33,-3.205283592,-6.600455611,,,,,
93.32,-2.482593958,-6.763029027,,,,,
93.31,-3.263117842,-6.630828953,,,,,
93.25,-1.430928577,-6.335280985,,,,,
93.23,-2.896623035,-6.479236441,,,,,
82.41,-1.230310533,0.240916305,,,,,
82.30,-2.900838893,-2.079090529,,,,,
82.10,-3.450768343,-1.228042145,,,,,
81.61,-1.284733001,0.772826919,,,,,
81.20,-2.595332341,-1.480006763,,,,,
73.95,1.990583654,0.603075041,,,,,
73.96,2.659179609,1.360238536,,,,,
11.22,2.576020103,5.734561324,,,,,
19.01,-0.297247028,4.058792924,,,,,
19.02,1.776002796,4.818014375,,,,,
81.63,-1.909662968,-1.520810797,,,,,
81.64,-1.727208837,-0.630256553,,,,,
62.36,4.563751174,4.962493462,,,,,
63.96,4.290517286,5.207520719,,,,,
63.94,2.509007184,3.641745851,,,,,
93.22,-1.706588964,-5.215185699,,,,,
93.21,-2.457467152,-4.247192439,,,,,
79.52,4.273632465,5.64638838,,,,,
79.51,5.007240143,5.68356063,,,,,
79.31,0.450320212,4.146484443,,,,,
78.30,0.394973563,3.284425492,,,,,
78.20,2.624442857,3.636183679,,,,,
78.12,5.411430129,5.519175666,,,,,
78.11,2.839064573,4.179237653,,,,,
69.50,6.438105146,5.769005063,,,,,
66,2.022838863,4.417654285,,,,,
63.93,2.436085044,3.544028089,,,,,
70.44,3.494101684,2.973959992,,,,,
70.43,4.548168206,4.507270393,,,,,
70.41,6.287054555,5.242326394,,,,,
