TRACT,GEOID,TOTPOP,WHT_PCT,HOUSVCNY_PCT,SQMILES,OI_ALLCOMP-LEV,OI_EDCOMP-LEV,OI_HECOMP-LEV,OI_NBCOMP-LEV,OI_ALLCOMP,OI_EDCOMP,OI_HECOMP,OI_NBCOMP,CNPY_MEAN,CNPY_STD,CNPY_VRTY,CNPY_MED,IMPSRF_MEAN,IMPSRF_STD,IMPSRF_VRTY,IMPSRF_MED
83.80,39049008380,5417,0.758353332,5.82278481,4.47622545,Low,Low,Low,Very Low,-0.335798,-0.411261,-0.098583,-0.49755,14.44520388,16.97926569,91,8,25.33936055,30.73329441,101,7
83.70,39049008370,7384,0.889490791,5.95358224,2.60432729,Moderate,Low,Moderate,Moderate,-0.085509,-0.300625,0.088792,-0.044694,16.27711004,16.94352578,90,11,29.2715753,24.41798186,100,27
83.60,39049008360,6366,0.813540685,5.497022446,1.62911808,Low,Low,Low,Low,-0.245654,-0.424421,-0.17897,-0.133572,19.08146726,18.81236485,91,12,28.18651302,20.64838342,98,29
83.50,39049008350,6684,0.514362657,6.993006993,1.74216019,Low,Low,Moderate,Very Low,-0.311806,-0.461009,0.029028,-0.503438,28.96853216,26.1900011,95,18,26.02271369,27.89100627,101,17
83.40,39049008340,5988,0.757181029,8.394495413,3.32742218,Low,Low,Moderate,Low,-0.294607,-0.492982,-0.062693,-0.328146,13.38127544,15.47514244,85,8,40.49331523,28.61183401,101,39
71.14,39049007114,4823,0.649388348,8.509755085,1.63626891,Very High,Very High,Very High,High,0.505272,0.683514,0.604652,0.227652,17.73370142,18.05565863,91,12,49.09320594,28.84562499,101,50
95.20,39049009520,4308,0.868152275,6.455469217,2.45993393,Low,Low,Low,Very Low,-0.338934,-0.345428,-0.246662,-0.424714,10.28121469,11.58332074,75,6,38.53453878,30.5076401,101,37
94.30,39049009430,7328,0.611626638,5.546330123,4.76991716,Low,Low,High,Very Low,-0.210355,-0.359769,0.15907,-0.430366,21.57935756,24.31955149,93,12,21.45883724,27.39811274,101,6
93.61,39049009361,4770,0.512997904,8.189977562,2.43835647,High,Moderate,High,Very High,0.161501,-0.172726,0.185397,0.471832,30.34255167,23.9830299,93,22,25.93365604,26.8893452,101,19
83.30,39049008330,1744,0.92603211,9.796437659,0.60902028,Low,Low,Low,Very Low,-0.301284,-0.373304,-0.095647,-0.434902,23.42303307,19.94062037,87,17,36.48256146,24.88800205,101,37
83.22,39049008322,4536,0.828483245,10.1488498,0.64807067,Low,Very Low,Moderate,Low,-0.357285,-0.90155,-0.027218,-0.143086,12.29459025,9.202884185,55,10,42.28885316,16.96932022,94,45
83.21,39049008321,2299,0.800347977,8.61423221,0.42592505,Low,Very Low,Low,Moderate,-0.328172,-0.93335,-0.12749,0.076324,10.99592502,6.910239478,42,9,43.39886271,13.25287267,89,45
83.12,39049008312,4805,0.617065557,12.52465483,0.58711648,Very Low,Very Low,Low,Very Low,-0.679011,-0.968429,-0.296342,-0.772264,9.576763485,6.669779367,43,8,44.26777251,17.03201207,98,46
83.11,39049008311,4857,0.608812024,7.457627119,0.96164585,Very Low,Very Low,Low,Very Low,-0.62867,-0.985444,-0.075078,-0.825488,12.48157514,13.59074963,81,8,44.17419588,26.88830339,100,47
